frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
2155,car,0.59,86,526,143,582,195,,,,,,
2176,car,0.31,89,586,121,639,200,,,,,,
2231,car,0.89,93,2,60,295,477,,,,,,
2261,car,0.34,110,4,0,490,477,,,,,,
2266,car,0.38,112,1,0,508,477,,,,,,
2272,car,0.5,114,5,0,491,477,,,,,,
2277,car,0.41,118,445,150,515,242,,,,,,
2283,car,0.52,119,547,82,593,171,,,,,,
2283,car,0.38,120,481,154,550,243,,,,,,
2297,car,0.34,123,550,72,640,186,,,,,,
2310,bus,0.35,124,1,0,474,477,,,,,,
2317,bus,0.53,125,1,0,470,475,,,,,,
2330,bus,0.33,127,0,1,444,476,,,,,,
2334,bus,0.49,130,6,14,526,470,,,,,,
2335,car,0.67,132,416,118,508,336,,,,,,
2345,bus,0.46,133,0,16,447,476,,,,,,
2352,bus,0.42,135,5,0,637,406,,,,,,
2357,bus,0.66,138,1,25,458,475,,,,,,
2600,car,0.92,148,370,203,638,442,,,,,,
2625,car,0.91,149,231,212,635,422,,,,,,
2837,car,0.88,150,295,180,637,424,,,,,,

--- An�lisis realizado: 2025-05-09 07:16:36 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
77,car,0.84,10,7,41,466,475,,,,,,
187,bus,0.8,15,78,107,563,479,,,,,,
246,car,0.38,36,622,228,639,286,,,,,,
249,car,0.63,40,91,125,586,478,,,,,,
254,car,0.62,47,534,206,608,381,,,,,,
272,car,0.4,68,631,270,639,322,,,,,,
307,car,0.55,73,477,177,521,224,,,,,,
332,bus,0.62,76,0,0,512,478,,,,,,
355,car,0.31,77,1,13,512,477,,,,,,
409,bus,0.48,89,5,47,439,477,,,,,,
414,car,0.54,91,417,198,456,238,,,,,,
471,bus,0.4,98,1,45,448,477,,,,,,

--- An�lisis realizado: 2025-05-09 07:17:47 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
84,car,0.9,1,45,104,461,478,0.5,178,316,274,366,152H4
106,car,0.65,4,558,121,614,172,,,,,,
138,car,0.47,13,561,105,611,155,,,,,,
149,car,0.71,15,418,154,500,307,,,,,,
158,bus,0.37,16,23,1,479,479,,,,,,
162,car,0.65,17,385,149,503,334,,,,,,
265,car,0.34,33,516,185,538,247,,,,,,
296,car,0.6,36,386,232,432,276,,,,,,
302,car,0.36,37,457,142,505,196,,,,,,
321,car,0.77,43,34,132,448,480,,,,,,
321,bus,0.48,44,2,4,637,480,,,,,,
599,car,0.42,57,512,178,562,223,,,,,,
628,car,0.65,60,440,173,487,216,,,,,,
