epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,5665.9,1.07344,0.58927,1.0946,0.9514,0.94488,0.97773,0.55808,1.49468,0.64848,1.31951,0.0006338,0.0006338,0.0006338
71,5733.88,1.04777,0.57267,1.07423,0.88989,0.95457,0.97224,0.55038,1.53299,0.65401,1.33158,0.000614,0.000614,0.000614
72,5801.77,1.06673,0.57891,1.08807,0.93855,0.96209,0.97693,0.55557,1.49341,0.65057,1.31004,0.0005942,0.0005942,0.0005942
73,5869.54,1.08439,0.60607,1.08993,0.9213,0.97638,0.9757,0.57411,1.48879,0.65436,1.28921,0.0005744,0.0005744,0.0005744
74,5937.23,1.0536,0.58009,1.08369,0.96026,0.95134,0.98021,0.5824,1.47959,0.64576,1.26721,0.0005546,0.0005546,0.0005546
75,6004.73,1.03088,0.57503,1.07863,0.95283,0.95432,0.97055,0.56527,1.48616,0.66181,1.26682,0.0005348,0.0005348,0.0005348
76,6072.19,1.06631,0.57256,1.07377,0.95116,0.93701,0.97657,0.55425,1.52757,0.65023,1.28704,0.000515,0.000515,0.000515
77,6139.24,1.0479,0.56486,1.06468,0.94762,0.95276,0.98495,0.58191,1.49006,0.61823,1.27125,0.0004952,0.0004952,0.0004952
78,6206.68,1.03808,0.54839,1.07482,0.9317,0.96665,0.98368,0.58486,1.48261,0.61211,1.24678,0.0004754,0.0004754,0.0004754
79,6274.37,1.04392,0.56229,1.07604,0.96091,0.92913,0.97902,0.56309,1.48276,0.63446,1.24872,0.0004556,0.0004556,0.0004556
80,6341.65,1.01715,0.53939,1.05906,0.95961,0.95276,0.97472,0.58403,1.47118,0.61876,1.26218,0.0004358,0.0004358,0.0004358
81,6408.86,0.98944,0.53435,1.0455,0.93555,0.9685,0.97606,0.57334,1.4763,0.63975,1.26592,0.000416,0.000416,0.000416
82,6475.91,1.00463,0.56799,1.07286,0.95308,0.95972,0.96999,0.57646,1.47663,0.62172,1.27271,0.0003962,0.0003962,0.0003962
83,6543.36,0.95809,0.52484,1.03873,0.91317,0.9685,0.97072,0.58389,1.45746,0.63733,1.26879,0.0003764,0.0003764,0.0003764
84,6611.18,1.01118,0.55446,1.07903,0.93207,0.97237,0.97769,0.577,1.47308,0.61757,1.27114,0.0003566,0.0003566,0.0003566
85,6678.71,0.95173,0.52201,1.04562,0.94184,0.9685,0.98188,0.57266,1.49526,0.60152,1.28424,0.0003368,0.0003368,0.0003368
86,6745.93,0.95517,0.52717,1.0483,0.93054,0.97638,0.98465,0.58445,1.46849,0.60826,1.27299,0.000317,0.000317,0.000317
87,6812.78,0.96938,0.52566,1.05389,0.92484,0.96885,0.98413,0.5714,1.50165,0.61849,1.2907,0.0002972,0.0002972,0.0002972
88,6880.24,0.98841,0.51551,1.06317,0.93855,0.96063,0.9847,0.57798,1.49918,0.61916,1.27364,0.0002774,0.0002774,0.0002774
89,6947.73,0.90411,0.48917,1.0071,0.94469,0.9685,0.97762,0.56423,1.51671,0.61492,1.29474,0.0002576,0.0002576,0.0002576
90,7014.95,0.96956,0.53839,1.04764,0.93945,0.97739,0.97757,0.57119,1.49178,0.60765,1.27543,0.0002378,0.0002378,0.0002378
91,7085.97,0.9251,0.46954,1.02605,0.95038,0.9685,0.97146,0.55593,1.49927,0.60529,1.29684,0.000218,0.000218,0.000218
92,7169.37,0.90458,0.45872,1.03123,0.93854,0.9619,0.97811,0.56696,1.49225,0.60984,1.30443,0.0001982,0.0001982,0.0001982
93,7252.95,0.88178,0.43899,1.02308,0.93642,0.9685,0.98276,0.57545,1.49624,0.60307,1.29679,0.0001784,0.0001784,0.0001784
94,7330.7,0.87323,0.44631,1.01733,0.93447,0.97638,0.9821,0.57043,1.49506,0.60356,1.29203,0.0001586,0.0001586,0.0001586
95,7413.77,0.86951,0.44918,1.00687,0.93279,0.98361,0.98085,0.56906,1.47231,0.60328,1.27821,0.0001388,0.0001388,0.0001388
96,7497.17,0.8535,0.43658,0.98773,0.93868,0.96431,0.9813,0.57417,1.4676,0.59538,1.27742,0.000119,0.000119,0.000119
97,7580.8,0.83745,0.426,1.00518,0.95904,0.92913,0.98008,0.57973,1.47529,0.60297,1.2858,9.92e-05,9.92e-05,9.92e-05
98,7664.37,0.84659,0.42805,0.98743,0.95199,0.93687,0.97925,0.58143,1.4811,0.60874,1.28766,7.94e-05,7.94e-05,7.94e-05
99,7747.85,0.82434,0.42141,0.97539,0.96111,0.92913,0.98,0.58396,1.4717,0.6036,1.28277,5.96e-05,5.96e-05,5.96e-05
100,7831.46,0.85061,0.42426,1.0013,0.96144,0.92913,0.98036,0.57681,1.47593,0.59614,1.2865,3.98e-05,3.98e-05,3.98e-05
